rank,word,zipf_frequency,source,current_tier,current_recommended_phase_3,current_recommended_phase_4,suggested_current_tier,selection_bucket,canonical_phase
1,potential,5.01,current,1,1,1,,,1
2,significant,4.98,current,1,1,1,,,1
3,impact,4.92,addition,,,,1,curated_top_band,1
4,commission,4.91,current,2,1,1,,,1
5,thus,4.91,current,1,1,1,,,1
6,structure,4.84,addition,,,,1,curated_top_band,1
7,institute,4.8,current,2,1,1,,,1
8,technical,4.75,addition,,,,1,curated_top_band,1
9,strategy,4.74,addition,,,,1,curated_top_band,1
10,core,4.73,current,1,1,1,,,1
11,transfer,4.72,addition,,,,1,curated_top_band,1
12,capacity,4.71,addition,,,,1,curated_top_band,1
13,ensure,4.7,addition,,,,1,curated_top_band,1
14,cross-train,4.68,current,1,1,1,,,1
15,maintain,4.65,addition,,,,1,curated_top_band,1
16,conflict,4.64,addition,,,,1,curated_top_band,1
17,debate,4.64,addition,,,,1,curated_top_band,1
18,revenue,4.64,current,1,1,1,,,1
19,secure,4.64,addition,,,,1,curated_top_band,1
20,instance,4.59,addition,,,,1,curated_top_band,1
21,accurate,4.57,addition,,,,1,curated_top_band,1
22,category,4.57,addition,,,,1,curated_top_band,1
23,scheme,4.57,current,2,1,1,,,1
24,shift,4.57,current,1,1,1,,,1
25,ultimately,4.57,current,1,1,1,,,1
26,personnel,4.56,current,1,1,1,,,1
27,perspective,4.56,current,1,1,1,,,1
28,external,4.52,addition,,,,1,curated_top_band,1
29,principal,4.52,addition,,,,1,curated_top_band,1
30,trend,4.51,addition,,,,1,curated_top_band,1
31,convention,4.5,addition,,,,1,curated_top_band,1
32,equivalent,4.5,addition,,,,1,curated_top_band,1
33,contemporary,4.49,current,1,1,1,,,1
34,vast,4.49,current,1,1,1,,,1
35,consistent,4.48,current,1,1,1,,,1
36,contrast,4.46,addition,,,,1,curated_top_band,1
37,establish,4.46,current,1,1,1,,,1
38,infrastructure,4.46,current,1,1,1,,,1
39,transition,4.46,current,1,1,1,,,1
40,publication,4.45,addition,,,,1,curated_top_band,1
41,procedure,4.44,current,1,1,1,,,1
42,reveal,4.43,addition,,,,1,curated_top_band,1
43,strategic,4.43,current,2,1,1,,,1
44,capture,4.42,addition,,,,1,curated_top_band,1
45,priority,4.41,addition,,,,1,curated_top_band,1
46,whereas,4.41,current,1,1,1,,,1
47,confirm,4.4,addition,,,,1,curated_top_band,1
48,obtain,4.4,addition,,,,1,curated_top_band,1
49,narrative,4.39,addition,,,,1,curated_top_band,1
50,amendment,4.38,current,1,1,1,,,1
51,enterprise,4.38,current,2,1,1,,,1
52,hence,4.38,current,1,1,1,,,1
53,valid,4.38,addition,,,,1,curated_top_band,1
54,vital,4.38,addition,,,,1,curated_top_band,1
55,currency,4.37,addition,,,,1,curated_top_band,1
56,genuine,4.37,current,1,1,1,,,1
57,monitor,4.37,addition,,,,1,curated_top_band,1
58,ratio,4.37,addition,,,,1,curated_top_band,1
59,comprehensive,4.36,current,1,1,1,,,1
60,engage,4.36,addition,,,,1,curated_top_band,1
61,initiative,4.36,addition,,,,1,curated_breadth_band,1
62,objective,4.36,current,1,1,1,,,1
63,root-cause,4.36,current,1,1,1,,,1
64,expand,4.35,addition,,,,1,curated_top_band,1
65,indicate,4.35,addition,,,,1,curated_top_band,1
66,outcome,4.35,addition,,,,1,curated_top_band,1
67,sequence,4.35,current,1,1,1,,,1
68,contribute,4.34,addition,,,,1,curated_top_band,1
69,progressive,4.34,addition,,,,1,curated_top_band,1
70,foster,4.33,current,1,1,1,,,1
71,fundamental,4.33,current,1,1,1,,,1
72,prominent,4.33,addition,,,,1,curated_top_band,1
73,radical,4.33,addition,,,,1,curated_breadth_band,1
74,substantial,4.33,current,1,1,1,,,1
75,uniform,4.33,current,1,1,1,,,1
76,apparent,4.32,current,1,1,1,,,1
77,component,4.32,addition,,,,1,curated_top_band,1
78,ongoing,4.32,addition,,,,1,curated_top_band,1
79,sufficient,4.32,addition,,,,1,curated_breadth_band,1
80,biological,4.31,current,2,1,1,,,1
81,discrimination,4.31,current,2,1,1,,,1
82,dynamic,4.31,current,1,1,1,,,1
83,stability,4.31,addition,,,,1,curated_top_band,1
84,equity,4.3,current,1,1,1,,,1
85,distinct,4.29,addition,,,,1,curated_top_band,1
86,eligible,4.29,addition,,,,1,curated_top_band,1
87,execution,4.29,current,1,1,1,,,1
88,framework,4.29,current,1,1,1,,,1
89,crucial,4.28,current,1,1,1,,,1
90,composed,4.27,current,1,1,1,,,1
91,dispute,4.27,current,1,1,1,,,1
92,mechanism,4.27,current,2,1,1,,,1
93,moderate,4.27,current,1,1,1,,,1
94,parallel,4.27,addition,,,,1,curated_top_band,1
95,fiscal,4.26,current,1,1,1,,,1
96,mutual,4.26,addition,,,,1,curated_top_band,1
97,pursue,4.26,addition,,,,1,curated_breadth_band,1
98,venture,4.26,current,1,1,1,,,1
99,nevertheless,4.25,current,1,1,1,,,1
100,neutral,4.24,addition,,,,1,curated_breadth_band,1
101,suspension,4.24,current,2,1,1,,,1
