word,zipf_frequency,suggested_current_tier,selection_bucket
impact,4.92,1,curated_top_band
structure,4.84,1,curated_top_band
technical,4.75,1,curated_top_band
strategy,4.74,1,curated_top_band
transfer,4.72,1,curated_top_band
capacity,4.71,1,curated_top_band
ensure,4.70,1,curated_top_band
maintain,4.65,1,curated_top_band
conflict,4.64,1,curated_top_band
debate,4.64,1,curated_top_band
secure,4.64,1,curated_top_band
instance,4.59,1,curated_top_band
accurate,4.57,1,curated_top_band
category,4.57,1,curated_top_band
external,4.52,1,curated_top_band
principal,4.52,1,curated_top_band
trend,4.51,1,curated_top_band
convention,4.50,1,curated_top_band
equivalent,4.50,1,curated_top_band
contrast,4.46,1,curated_top_band
publication,4.45,1,curated_top_band
reveal,4.43,1,curated_top_band
capture,4.42,1,curated_top_band
priority,4.41,1,curated_top_band
confirm,4.40,1,curated_top_band
obtain,4.40,1,curated_top_band
narrative,4.39,1,curated_top_band
valid,4.38,1,curated_top_band
vital,4.38,1,curated_top_band
currency,4.37,1,curated_top_band
monitor,4.37,1,curated_top_band
ratio,4.37,1,curated_top_band
engage,4.36,1,curated_top_band
initiative,4.36,1,curated_breadth_band
expand,4.35,1,curated_top_band
indicate,4.35,1,curated_top_band
outcome,4.35,1,curated_top_band
contribute,4.34,1,curated_top_band
progressive,4.34,1,curated_top_band
prominent,4.33,1,curated_top_band
radical,4.33,1,curated_breadth_band
component,4.32,1,curated_top_band
ongoing,4.32,1,curated_top_band
sufficient,4.32,1,curated_breadth_band
stability,4.31,1,curated_top_band
distinct,4.29,1,curated_top_band
eligible,4.29,1,curated_top_band
parallel,4.27,1,curated_top_band
mutual,4.26,1,curated_top_band
pursue,4.26,1,curated_breadth_band
neutral,4.24,1,curated_breadth_band
controversial,4.23,1,curated_top_band
advocate,4.21,1,curated_top_band
insight,4.19,1,curated_top_band
preserve,4.19,1,curated_top_band
structural,4.18,1,curated_top_band
notion,4.17,1,curated_top_band
resolve,4.17,1,curated_top_band
exhibit,4.16,1,curated_top_band
retain,4.16,1,curated_top_band
tackle,4.15,1,curated_top_band
precise,4.13,1,curated_top_band
variable,4.12,1,curated_top_band
convert,4.11,1,curated_breadth_band
predict,4.08,1,curated_top_band
assess,4.07,1,curated_top_band
ethical,4.07,1,curated_top_band
notable,4.07,1,curated_top_band
rational,4.06,1,curated_breadth_band
interact,4.05,1,curated_breadth_band
gauge,4.02,1,curated_breadth_band
evaluate,4.01,1,curated_top_band
theoretical,4.01,1,curated_breadth_band
transparent,4.01,1,curated_top_band
evident,3.99,2,curated_top_band
offset,3.99,2,curated_mid_band
adapt,3.98,2,curated_top_band
colleague,3.98,2,curated_mid_band
construct,3.98,2,curated_top_band
dense,3.98,2,curated_mid_band
doctrine,3.98,2,curated_top_band
expose,3.98,2,curated_top_band
compatible,3.97,2,curated_mid_band
grasp,3.97,2,curated_mid_band
inclusive,3.97,2,curated_mid_band
enforce,3.96,2,curated_mid_band
integral,3.96,2,curated_top_band
prediction,3.96,2,curated_mid_band
tendency,3.96,2,curated_mid_band
aggregate,3.94,2,curated_top_band
sustain,3.93,2,curated_top_band
indicator,3.92,2,curated_mid_band
inequality,3.92,2,curated_mid_band
shortage,3.91,2,curated_mid_band
accountable,3.90,2,curated_breadth_band
persistent,3.90,2,curated_mid_band
landmark,3.89,2,curated_mid_band
consume,3.88,2,curated_mid_band
selective,3.88,2,curated_mid_band
consult,3.87,2,curated_mid_band
informal,3.87,2,curated_mid_band
cooperative,3.86,2,curated_mid_band
logistics,3.86,2,curated_mid_band
symbolic,3.86,2,curated_mid_band
autonomous,3.85,2,curated_mid_band
clarify,3.85,2,curated_mid_band
desirable,3.85,2,curated_mid_band
incorporate,3.85,2,curated_top_band
obscure,3.85,2,curated_mid_band
disclose,3.84,2,curated_mid_band
convey,3.83,2,curated_mid_band
statute,3.83,2,curated_mid_band
persuade,3.82,2,curated_mid_band
revision,3.82,2,curated_mid_band
interpret,3.81,2,curated_breadth_band
confront,3.80,2,curated_breadth_band
decisive,3.80,2,curated_mid_band
minimize,3.80,2,curated_mid_band
specify,3.78,2,curated_breadth_band
credible,3.77,2,curated_top_band
anticipate,3.73,2,curated_mid_band
eventual,3.73,2,curated_mid_band
quantitative,3.73,2,curated_top_band
perceive,3.72,2,curated_mid_band
friction,3.71,2,curated_mid_band
illustrate,3.71,2,curated_top_band
durable,3.68,2,curated_mid_band
govern,3.67,2,curated_mid_band
stimulate,3.67,2,curated_mid_band
earnest,3.66,2,curated_mid_band
endorse,3.63,2,curated_mid_band
inspect,3.63,2,curated_mid_band
maximize,3.63,2,curated_mid_band
differentiate,3.62,2,curated_mid_band
attain,3.60,2,curated_mid_band
isolate,3.60,2,curated_mid_band
disrupt,3.59,3,curated_mid_band
parameter,3.57,3,curated_mid_band
discrete,3.56,3,curated_mid_band
amend,3.55,3,curated_mid_band
prevail,3.55,3,curated_mid_band
persist,3.53,3,curated_mid_band
collaborate,3.51,3,curated_mid_band
dedicate,3.51,3,curated_mid_band
derive,3.51,3,curated_mid_band
correspond,3.50,3,curated_mid_band
provoke,3.50,3,curated_mid_band
concede,3.48,3,curated_mid_band
intrinsic,3.47,3,curated_mid_band
stabilize,3.46,3,curated_mid_band
qualitative,3.45,3,curated_mid_band
tentative,3.45,3,curated_mid_band
orient,3.44,3,curated_mid_band
simulate,3.44,3,curated_mid_band
ambiguity,3.37,3,curated_breadth_band
conserve,3.37,3,curated_mid_band
escalate,3.35,3,curated_mid_band
holistic,3.33,3,curated_mid_band
invoke,3.33,3,curated_mid_band
prioritize,3.31,3,curated_mid_band
enrich,3.30,3,curated_mid_band
reassure,3.30,3,curated_mid_band
refine,3.28,3,curated_mid_band
converge,3.23,3,curated_mid_band
formulate,3.23,3,curated_mid_band
defer,3.20,3,curated_mid_band
devise,3.19,3,curated_mid_band
infer,3.16,3,curated_mid_band
mediate,3.13,3,curated_mid_band
