word,current_tier,zipf_frequency,recommended_phase_3,recommended_phase_4
potential,1,5.01,1,1
significant,1,4.98,1,1
commission,2,4.91,1,1
thus,1,4.91,1,1
institute,2,4.80,1,1
core,1,4.73,1,1
cross-train,1,4.68,1,1
revenue,1,4.64,1,1
scheme,2,4.57,1,1
shift,1,4.57,1,1
ultimately,1,4.57,1,1
personnel,1,4.56,1,1
perspective,1,4.56,1,1
contemporary,1,4.49,1,1
vast,1,4.49,1,1
consistent,1,4.48,1,1
establish,1,4.46,1,1
infrastructure,1,4.46,1,1
transition,1,4.46,1,1
procedure,1,4.44,1,1
strategic,2,4.43,1,1
whereas,1,4.41,1,1
amendment,1,4.38,1,1
enterprise,2,4.38,1,1
hence,1,4.38,1,1
genuine,1,4.37,1,1
comprehensive,1,4.36,1,1
objective,1,4.36,1,1
root-cause,1,4.36,1,1
sequence,1,4.35,1,1
foster,1,4.33,1,1
fundamental,1,4.33,1,1
substantial,1,4.33,1,1
uniform,1,4.33,1,1
apparent,1,4.32,1,1
biological,2,4.31,1,1
discrimination,2,4.31,1,1
dynamic,1,4.31,1,1
equity,1,4.30,1,1
execution,1,4.29,1,1
framework,1,4.29,1,1
crucial,1,4.28,1,1
composed,1,4.27,1,1
dispute,1,4.27,1,1
mechanism,2,4.27,1,1
moderate,1,4.27,1,1
fiscal,1,4.26,1,1
venture,1,4.26,1,1
nevertheless,1,4.25,1,1
suspension,2,4.24,1,1
asset,1,4.23,1,1
coalition,1,4.23,1,1
subsequently,1,4.23,1,1
integrity,1,4.22,1,1
legitimate,1,4.22,1,1
vulnerable,1,4.21,1,1
chronic,1,4.20,1,1
implement,1,4.20,1,1
solely,1,4.20,1,1
scenario,1,4.19,1,1
sustainable,1,4.19,1,1
acknowledge,1,4.18,1,1
compliance,1,4.17,1,1
liability,1,4.16,1,1
moreover,1,4.16,1,1
yield,1,4.16,1,1
portfolio,1,4.15,1,1
protocol,1,4.15,1,1
duration,1,4.14,1,1
inflation,1,4.14,1,1
justify,1,4.14,1,1
provision,1,4.14,1,1
appreciation,1,4.12,1,1
excessive,1,4.12,1,1
canon,2,4.11,1,1
cognitive,1,4.11,1,1
harmony,1,4.11,1,1
consensus,1,4.10,1,1
innovative,1,4.10,1,1
jurisdiction,1,4.10,1,1
monetary,1,4.10,1,1
governance,1,4.09,1,1
inevitable,1,4.08,1,1
merit,1,4.08,1,1
matrix,2,4.07,1,1
deficit,1,4.06,1,1
elaborate,1,4.06,1,1
tolerance,1,4.06,1,1
exceptional,1,4.05,1,1
orientation,1,4.05,1,1
audit,1,4.04,1,1
authentic,1,4.04,1,1
enhance,1,4.04,1,1
magnificent,1,4.04,1,1
transform,1,4.04,1,1
cease,1,4.03,1,1
accordingly,1,4.02,1,1
algorithm,2,4.02,1,1
dimension,1,4.02,1,1
notably,1,4.01,1,1
acute,1,4.00,1,1
interim,1,4.00,1,1
magnitude,1,4.00,1,1
facilitate,1,3.99,1,1
compelling,1,3.98,1,1
configuration,1,3.97,1,1
incentive,1,3.97,1,1
mandate,1,3.97,1,1
explicit,1,3.96,1,1
viable,1,3.96,1,1
consequently,1,3.94,1,1
profound,1,3.94,1,1
robust,1,3.94,1,1
mentor,1,3.93,1,1
outline,1,3.92,1,1
accountability,1,3.91,1,1
albeit,1,3.91,1,1
deployment,1,3.91,1,1
likelihood,1,3.91,1,1
arguably,1,3.90,1,1
coordination,2,3.90,1,1
emerge,1,3.89,1,1
immense,1,3.88,1,1
leverage,1,3.88,1,1
verify,1,3.88,1,1
hypothesis,1,3.87,1,1
repeal,2,3.87,1,1
autonomy,1,3.86,1,1
commodity,1,3.86,1,1
correlation,1,3.86,1,1
